sen	verb	verb_idx	cop	cop_idx	child	child_idx	child_features	child_upos	head	head_idx	head_features	head_upos	distance	attractors	metadata	swap_head	feature_vals	prefix	wrong_sen	congruent_attractors	incongruent_attractors	num_attractors	num_congruent_attractors	num_incongruent_attractors	has_attractors	only_has_congruent_attractors	only_has_incongruent_attractors	sample_weight	phenomenon	lang	grammatical_feature	ungrammatical_feature	wo	inflect_item	agreement_certainty
Οι εν λόγω φαρμακοβιομηχανίες έχουν ήδη ξοδέψει δισεκατομμύρια δολάρια τα τελευταία χρόνια σε έρευνες για νέα φάρμακα με στόχο την αύξηση των κερδών τους και τη διατήρηση της ανταγωνιστικότητάς τους έναντι άλλων φαρμακοβιομηχανιών.	ξοδέψει	6	έχουν	4.0	φαρμακοβιομηχανίες	3	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Plur', 'lemma': 'φαρμακοβιομηχανία'}	NOUN	έχουν	4	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Fem'}	AUX	1	[]	{'sent_id': 'gdt-20140205-voa-1-4', 'text': 'Οι εν λόγω φαρμακοβιομηχανίες έχουν ήδη ξοδέψει δισεκατομμύρια δολάρια τα τελευταία χρόνια σε έρευνες για νέα φάρμακα με στόχο την αύξηση των κερδών τους και τη διατήρηση της ανταγωνιστικότητάς τους έναντι άλλων φαρμακοβιομηχανιών.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-test.conllu'}	έχετε	3 -> 2	Οι εν λόγω φαρμακοβιομηχανίες	Οι εν λόγω φαρμακοβιομηχανίες έχετε ήδη ξοδέψει δισεκατομμύρια δολάρια τα τελευταία χρόνια σε έρευνες για νέα φάρμακα με στόχο την αύξηση των κερδών τους και τη διατήρηση της ανταγωνιστικότητάς τους έναντι άλλων φαρμακοβιομηχανιών.	[]	[]	0	0	0	False	False	False	0.0108413504178472	SV-P	ell	3	2	SV	aux	+
η Ομάδα μας είναι υπέρ του να αποκτήσουμε καθεστώς βουλευτών.	αποκτήσουμε	7	είναι	3.0	Ομάδα	1	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'ομάδα'}	NOUN	είναι	3	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Fem'}	AUX	2	[]	{'sent_id': 'gdt-20020206-ep-sessions_004-43', 'text': 'η Ομάδα μας είναι υπέρ του να αποκτήσουμε καθεστώς βουλευτών.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	είσαι	3 -> 2	η Ομάδα μας	η Ομάδα μας είσαι υπέρ του να αποκτήσουμε καθεστώς βουλευτών.	[]	[]	0	0	0	False	False	False	0.0062178333278829	SV-P	ell	3	2	SV	aux	+
Κύμα κακοκαιρίας πλήττει τα Βαλκάνια, ενώ μέχρι στιγμής τρεις άνθρωποι έχουν χάσει τη ζωή τους και δεκάδες έχουν αποκλειστεί σ τη Σερβία.	χάσει	12	έχουν	11.0	άνθρωποι	10	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Plur', 'lemma': 'άνθρωπος'}	NOUN	έχουν	11	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Masc'}	AUX	1	[]	{'sent_id': 'gdt-20090221-apogevmatini-news_kakokeria_sta_valkania-2', 'text': 'Κύμα κακοκαιρίας πλήττει τα Βαλκάνια, ενώ μέχρι στιγμής τρεις άνθρωποι έχουν χάσει τη ζωή τους και δεκάδες έχουν αποκλειστεί στη Σερβία.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-test.conllu'}	έχετε	3 -> 2	Κύμα κακοκαιρίας πλήττει τα Βαλκάνια, ενώ μέχρι στιγμής τρεις άνθρωποι	Κύμα κακοκαιρίας πλήττει τα Βαλκάνια, ενώ μέχρι στιγμής τρεις άνθρωποι έχετε χάσει τη ζωή τους και δεκάδες έχουν αποκλειστεί σ τη Σερβία.	[]	[]	0	0	0	False	False	False	0.0108413504178472	SV-P	ell	3	2	SV	aux	+
Η ενοποίηση των νόμων μπορεί να γίνει βέβαια μέσω της δικής μας άρνησης να συζητούμε ή να απορρίπτουμε ευθέως προτάσεις οι οποίες δεν είναι ενοποιημένες.	ενοποιημένες	24	είναι	23.0	οποίες	21	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Plur', 'Person': '3', 'PronType': 'Rel', 'lemma': 'οποίος'}	PRON	είναι	23	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Fem'}	AUX	2	[]	{'sent_id': 'gdt-20020206-ep-sessions_011-3', 'text': 'Η ενοποίηση των νόμων μπορεί να γίνει βέβαια μέσω της δικής μας άρνησης να συζητούμε ή να απορρίπτουμε ευθέως προτάσεις οι οποίες δεν είναι ενοποιημένες.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	είσαστε	3 -> 2	Η ενοποίηση των νόμων μπορεί να γίνει βέβαια μέσω της δικής μας άρνησης να συζητούμε ή να απορρίπτουμε ευθέως προτάσεις οι οποίες δεν	Η ενοποίηση των νόμων μπορεί να γίνει βέβαια μέσω της δικής μας άρνησης να συζητούμε ή να απορρίπτουμε ευθέως προτάσεις οι οποίες δεν είσαστε ενοποιημένες.	[]	[]	0	0	0	False	False	False	0.0062178333278829	SV-P	ell	3	2	SV	aux	+
"Πάντως, το Υπουργείο Εξωτερικών των ΗΠΑ έχει επικρίνει το εν λόγω ταξίδι, χαρακτηρίζοντας ""άστοχη"" τη χρονική περίοδο που πραγματοποιείται."	επικρίνει	8	έχει	7.0	Υπουργείο	3	{'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'lemma': 'υπουργείο'}	NOUN	έχει	7	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Neut'}	AUX	4	[]	"{'sent_id': 'gdt-20130109-elwikinews-1-8', 'text': 'Πάντως, το Υπουργείο Εξωτερικών των ΗΠΑ έχει επικρίνει το εν λόγω ταξίδι, χαρακτηρίζοντας ""άστοχη"" τη χρονική περίοδο που πραγματοποιείται.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}"	'χεις	3 -> 2	Πάντως, το Υπουργείο Εξωτερικών των ΗΠΑ	"Πάντως, το Υπουργείο Εξωτερικών των ΗΠΑ 'χεις επικρίνει το εν λόγω ταξίδι, χαρακτηρίζοντας ""άστοχη"" τη χρονική περίοδο που πραγματοποιείται."	[]	[]	0	0	0	False	False	False	0.0052199094604449	SV-P	ell	3	2	SV	aux	+
η Ομάδα μας είναι υπέρ του να αποκτήσουμε καθεστώς βουλευτών.	αποκτήσουμε	7	είναι	3.0	Ομάδα	1	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'ομάδα'}	NOUN	είναι	3	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Fem'}	AUX	2	[]	{'sent_id': 'gdt-20020206-ep-sessions_004-44', 'text': 'η Ομάδα μας είναι υπέρ του να αποκτήσουμε καθεστώς βουλευτών.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	είσαι	3 -> 2	η Ομάδα μας	η Ομάδα μας είσαι υπέρ του να αποκτήσουμε καθεστώς βουλευτών.	[]	[]	0	0	0	False	False	False	0.0062178333278829	SV-P	ell	3	2	SV	aux	+
Οι παραλίες της Θάσου - συνολικού μήκους 115 χλμ. - κάποιες από τις οποίες είναι οργανωμένες, φημίζονται για τα πεντακάθαρα νερά τους.	οργανωμένες	15	είναι	14.0	κάποιες	10	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Plur', 'Person': '3', 'PronType': 'Ind', 'lemma': 'κάποιος'}	PRON	είναι	14	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Fem'}	AUX	4	[]	{'sent_id': 'gdt-2005XXXX-ert-tourism_menoume_ellada_thasos-9', 'text': 'Οι παραλίες της Θάσου - συνολικού μήκους 115 χλμ. - κάποιες από τις οποίες είναι οργανωμένες, φημίζονται για τα πεντακάθαρα νερά τους.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-dev.conllu'}	είστε	3 -> 2	Οι παραλίες της Θάσου - συνολικού μήκους 115 χλμ. - κάποιες από τις οποίες	Οι παραλίες της Θάσου - συνολικού μήκους 115 χλμ. - κάποιες από τις οποίες είστε οργανωμένες, φημίζονται για τα πεντακάθαρα νερά τους.	[]	[]	0	0	0	False	False	False	0.0082904444371772	SV-P	ell	3	2	SV	aux	+
Τούτο έχει προξενήσει ασφαλώς μεγάλη σύγχυση σε ορισμένους συναδέλφους, καθώς πολλά από όσα η Επιτροπή παρουσίασε σ τις δύο ερμηνευτικές δηλώσεις της, για τις οποίες την ευχαριστούμε, δεν θα είναι πλέον εφικτά εξαιτίας της νέας νομικής βάσης που προτείνει η Επιτροπή, εάν δεν κάνουμε αύριο δεκτές σχετικές τροπολογίες.	προξενήσει	2	έχει	1.0	Τούτο	0	{'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'Person': '3', 'PronType': 'Dem', 'lemma': 'τούτος'}	PRON	έχει	1	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Neut'}	AUX	1	[]	{'sent_id': 'gdt-20020116-ep-sessions_132-16', 'text': 'Τούτο έχει προξενήσει ασφαλώς μεγάλη σύγχυση σε ορισμένους συναδέλφους, καθώς πολλά από όσα η Επιτροπή παρουσίασε στις δύο ερμηνευτικές δηλώσεις της, για τις οποίες την ευχαριστούμε, δεν θα είναι πλέον εφικτά εξαιτίας της νέας νομικής βάσης που προτείνει η Επιτροπή, εάν δεν κάνουμε αύριο δεκτές σχετικές τροπολογίες.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	έχεις	3 -> 2	Τούτο	Τούτο έχεις προξενήσει ασφαλώς μεγάλη σύγχυση σε ορισμένους συναδέλφους, καθώς πολλά από όσα η Επιτροπή παρουσίασε σ τις δύο ερμηνευτικές δηλώσεις της, για τις οποίες την ευχαριστούμε, δεν θα είναι πλέον εφικτά εξαιτίας της νέας νομικής βάσης που προτείνει η Επιτροπή, εάν δεν κάνουμε αύριο δεκτές σχετικές τροπολογίες.	[]	[]	0	0	0	False	False	False	0.0012045944908719	SV-P	ell	3	2	SV	aux	+
Πίστευε ότι το κίνημα τη συγκεκριμένη στιγμή και αποτέλεσμα δεν θα είχε και την νεοσχηματισθείσα κυβέρνηση της Αθήνας θα έφερνε σε δύσκολη θέση καθώς είχε να αντιμετωπίσει και το οικονομικό πρόβλημα της Ελλάδας που μόλις πριν από λίγο είχε κηρύξει πτώχευση.	κηρύξει	39	είχε	38.0	που	33	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'PronType': 'Rel', 'lemma': 'που'}	PRON	είχε	38	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Fem'}	AUX	5	[]	{'sent_id': 'gdt-20090408-wikipedia-history_kritiko_zitima-2', 'text': 'Πίστευε ότι το κίνημα τη συγκεκριμένη στιγμή και αποτέλεσμα δεν θα είχε και την νεοσχηματισθείσα κυβέρνηση της Αθήνας θα έφερνε σε δύσκολη θέση καθώς είχε να αντιμετωπίσει και το οικονομικό πρόβλημα της Ελλάδας που μόλις πριν από λίγο είχε κηρύξει πτώχευση.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	είχες	3 -> 2	Πίστευε ότι το κίνημα τη συγκεκριμένη στιγμή και αποτέλεσμα δεν θα είχε και την νεοσχηματισθείσα κυβέρνηση της Αθήνας θα έφερνε σε δύσκολη θέση καθώς είχε να αντιμετωπίσει και το οικονομικό πρόβλημα της Ελλάδας που μόλις πριν από λίγο	Πίστευε ότι το κίνημα τη συγκεκριμένη στιγμή και αποτέλεσμα δεν θα είχε και την νεοσχηματισθείσα κυβέρνηση της Αθήνας θα έφερνε σε δύσκολη θέση καθώς είχε να αντιμετωπίσει και το οικονομικό πρόβλημα της Ελλάδας που μόλις πριν από λίγο είχες κηρύξει πτώχευση.	[]	[]	0	0	0	False	False	False	0.0153750060471287	SV-P	ell	3	2	SV	aux	+
"Ο τούρκος Πρωθυπουργός τόνισε επίσης ότι η χώρα του έχει ανταποκριθεί σε περισσότερα από δέκα αιτήματα των ΗΠΑ για εκδόσεις πολιτών από την Τουρκία και περιμένει από τις ΗΠΑ να δράσουν αναλόγως σ το αίτημα που υποβάλλει μια ""φίλη χώρα και σύμμαχός τους σ το ΝΑΤΟ"", όπως επεσήμανε ο κ. Ερντογάν."	ανταποκριθεί	10	έχει	9.0	χώρα	7	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'χώρα'}	NOUN	έχει	9	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Fem'}	AUX	2	[]	"{'sent_id': 'gdt-20140429-voa-4-6', 'text': 'Ο τούρκος Πρωθυπουργός τόνισε επίσης ότι η χώρα του έχει ανταποκριθεί σε περισσότερα από δέκα αιτήματα των ΗΠΑ για εκδόσεις πολιτών από την Τουρκία και περιμένει από τις ΗΠΑ να δράσουν αναλόγως στο αίτημα που υποβάλλει μια ""φίλη χώρα και σύμμαχός τους στο ΝΑΤΟ"", όπως επεσήμανε ο κ. Ερντογάν.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-test.conllu'}"	έχεις	3 -> 2	Ο τούρκος Πρωθυπουργός τόνισε επίσης ότι η χώρα του	"Ο τούρκος Πρωθυπουργός τόνισε επίσης ότι η χώρα του έχεις ανταποκριθεί σε περισσότερα από δέκα αιτήματα των ΗΠΑ για εκδόσεις πολιτών από την Τουρκία και περιμένει από τις ΗΠΑ να δράσουν αναλόγως σ το αίτημα που υποβάλλει μια ""φίλη χώρα και σύμμαχός τους σ το ΝΑΤΟ"", όπως επεσήμανε ο κ. Ερντογάν."	[]	[]	0	0	0	False	False	False	0.0039149320953337	SV-P	ell	3	2	SV	aux	+
Η διακίνηση αλληλογραφίας μέσω ταχυδρομείων έχει σημειώσει κάθετη πτώση σ τις ΗΠΑ λόγω της χρήσης ηλεκτρονικών μηνυμάτων και του διαδικτύου για επικοινωνία.	σημειώσει	6	έχει	5.0	διακίνηση	1	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'lemma': 'διακίνηση'}	NOUN	έχει	5	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Fem'}	AUX	4	[]	{'sent_id': 'gdt-20130207-elwikinews-1-4', 'text': 'Η διακίνηση αλληλογραφίας μέσω ταχυδρομείων έχει σημειώσει κάθετη πτώση στις ΗΠΑ λόγω της χρήσης ηλεκτρονικών μηνυμάτων και του διαδικτύου για επικοινωνία.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-dev.conllu'}	'χεις	3 -> 2	Η διακίνηση αλληλογραφίας μέσω ταχυδρομείων	Η διακίνηση αλληλογραφίας μέσω ταχυδρομείων 'χεις σημειώσει κάθετη πτώση σ τις ΗΠΑ λόγω της χρήσης ηλεκτρονικών μηνυμάτων και του διαδικτύου για επικοινωνία.	[]	[]	0	0	0	False	False	False	0.0052199094604449	SV-P	ell	3	2	SV	aux	+
"Πάντως, το Υπουργείο Εξωτερικών των ΗΠΑ έχει επικρίνει το εν λόγω ταξίδι, χαρακτηρίζοντας ""άστοχη"" τη χρονική περίοδο που πραγματοποιείται."	επικρίνει	8	έχει	7.0	Υπουργείο	3	{'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'lemma': 'υπουργείο'}	NOUN	έχει	7	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Neut'}	AUX	4	[]	"{'sent_id': 'gdt-20130109-elwikinews-1-8', 'text': 'Πάντως, το Υπουργείο Εξωτερικών των ΗΠΑ έχει επικρίνει το εν λόγω ταξίδι, χαρακτηρίζοντας ""άστοχη"" τη χρονική περίοδο που πραγματοποιείται.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}"	έχεις	3 -> 2	Πάντως, το Υπουργείο Εξωτερικών των ΗΠΑ	"Πάντως, το Υπουργείο Εξωτερικών των ΗΠΑ έχεις επικρίνει το εν λόγω ταξίδι, χαρακτηρίζοντας ""άστοχη"" τη χρονική περίοδο που πραγματοποιείται."	[]	[]	0	0	0	False	False	False	0.0052199094604449	SV-P	ell	3	2	SV	aux	+
Πάντως ο Ρώσος Πρόεδρος Βλαντιμίρ Πούτιν έχει απορρίψει το αμερικανικό αίτημα, συνιστώντας όμως παράλληλα σ το Σνόουντεν να αναχωρήσει για άλλη χώρα.	απορρίψει	7	έχει	6.0	Πρόεδρος	3	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'πρόεδρος'}	NOUN	έχει	6	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Masc'}	AUX	3	[]	{'sent_id': 'gdt-20130714-elwikinews-1-6', 'text': 'Πάντως ο Ρώσος Πρόεδρος Βλαντιμίρ Πούτιν έχει απορρίψει το αμερικανικό αίτημα, συνιστώντας όμως παράλληλα στο Σνόουντεν να αναχωρήσει για άλλη χώρα.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	'χεις	3 -> 2	Πάντως ο Ρώσος Πρόεδρος Βλαντιμίρ Πούτιν	Πάντως ο Ρώσος Πρόεδρος Βλαντιμίρ Πούτιν 'χεις απορρίψει το αμερικανικό αίτημα, συνιστώντας όμως παράλληλα σ το Σνόουντεν να αναχωρήσει για άλλη χώρα.	[]	[]	0	0	0	False	False	False	0.0093958370288009	SV-P	ell	3	2	SV	aux	+
Το μόνο ερώτημα είναι πώς θα την υλοποιήσουμε καλύτερα.	υλοποιήσουμε	7	είναι	3.0	ερώτημα	2	{'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'lemma': 'ερώτημα'}	NOUN	είναι	3	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Neut'}	AUX	1	[]	{'sent_id': 'gdt-20020116-ep-sessions_2231-11', 'text': 'Το μόνο ερώτημα είναι πώς θα την υλοποιήσουμε καλύτερα.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-test.conllu'}	είσαι	3 -> 2	Το μόνο ερώτημα	Το μόνο ερώτημα είσαι πώς θα την υλοποιήσουμε καλύτερα.	[]	[]	0	0	0	False	False	False	0.0076527179420097	SV-P	ell	3	2	SV	aux	+
Σε ομιλία του σ το Λευκό Οίκο, ο πρόεδρος Ομπάμα δήλωσε ότι ο εγκέφαλος παραμένει επιστημονικό μυστήριο, παρά το γεγονός ότι ο ίδιος ο άνθρωπος έχει κατορθώσει να λύσει τα μυστήρια του σύμπαντος.	κατορθώσει	28	έχει	27.0	άνθρωπος	26	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'lemma': 'άνθρωπος'}	NOUN	έχει	27	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Masc'}	AUX	1	[]	{'sent_id': 'gdt-20130406-elwikinews-1-3', 'text': 'Σε ομιλία του στο Λευκό Οίκο, ο πρόεδρος Ομπάμα δήλωσε ότι ο εγκέφαλος παραμένει επιστημονικό μυστήριο, παρά το γεγονός ότι ο ίδιος ο άνθρωπος έχει κατορθώσει να λύσει τα μυστήρια του σύμπαντος.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	έχεις	3 -> 2	Σε ομιλία του σ το Λευκό Οίκο, ο πρόεδρος Ομπάμα δήλωσε ότι ο εγκέφαλος παραμένει επιστημονικό μυστήριο, παρά το γεγονός ότι ο ίδιος ο άνθρωπος	Σε ομιλία του σ το Λευκό Οίκο, ο πρόεδρος Ομπάμα δήλωσε ότι ο εγκέφαλος παραμένει επιστημονικό μυστήριο, παρά το γεγονός ότι ο ίδιος ο άνθρωπος έχεις κατορθώσει να λύσει τα μυστήρια του σύμπαντος.	[]	[]	0	0	0	False	False	False	0.0012045944908719	SV-P	ell	3	2	SV	aux	+
Η Αλυκή, η οποία σήμερα έχει γνωρίσει σημαντική τουριστική ανάπτυξη προσφέρεται όχι μόνο για επίσκεψη σ τον αρχαιολογικό της χώρο αλλά για κολύμπι σ τα καταγάλανα νερά της και για φαγητό σ τα όμορφα ταβερνάκια της.	γνωρίσει	7	έχει	6.0	οποία	4	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Sing', 'Person': '3', 'PronType': 'Rel', 'lemma': 'οποίος'}	PRON	έχει	6	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Fem'}	AUX	2	[]	{'sent_id': 'gdt-2005XXXX-ert-tourism_menoume_ellada_aliki_thasos-7', 'text': 'Η Αλυκή, η οποία σήμερα έχει γνωρίσει σημαντική τουριστική ανάπτυξη προσφέρεται όχι μόνο για επίσκεψη στον αρχαιολογικό της χώρο αλλά για κολύμπι στα καταγάλανα νερά της και για φαγητό στα όμορφα ταβερνάκια της.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	'χεις	3 -> 2	Η Αλυκή, η οποία σήμερα	Η Αλυκή, η οποία σήμερα 'χεις γνωρίσει σημαντική τουριστική ανάπτυξη προσφέρεται όχι μόνο για επίσκεψη σ τον αρχαιολογικό της χώρο αλλά για κολύμπι σ τα καταγάλανα νερά της και για φαγητό σ τα όμορφα ταβερνάκια της.	[]	[]	0	0	0	False	False	False	0.0015659728381334	SV-P	ell	3	2	SV	aux	+
Το χρονικό πλαίσιο είναι ήδη επαρκώς δομημένο διότι, μετά τη διαβούλευση, ο τελικός κανονισμός της Επιτροπής θα εγκριθεί πριν από το καλοκαίρι αυτού του έτους.	δομημένο	6	είναι	3.0	πλαίσιο	2	{'Case': 'Nom', 'Gender': 'Neut', 'Number': 'Sing', 'lemma': 'πλαίσιο'}	NOUN	είναι	3	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Neut'}	AUX	1	[]	{'sent_id': 'gdt-20020205-ep-sessions_145-13', 'text': 'Το χρονικό πλαίσιο είναι ήδη επαρκώς δομημένο διότι, μετά τη διαβούλευση, ο τελικός κανονισμός της Επιτροπής θα εγκριθεί πριν από το καλοκαίρι αυτού του έτους.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	είσαι	3 -> 2	Το χρονικό πλαίσιο	Το χρονικό πλαίσιο είσαι ήδη επαρκώς δομημένο διότι, μετά τη διαβούλευση, ο τελικός κανονισμός της Επιτροπής θα εγκριθεί πριν από το καλοκαίρι αυτού του έτους.	[]	[]	0	0	0	False	False	False	0.0076527179420097	SV-P	ell	3	2	SV	aux	+
Το Συμβούλιο έκρινε επίσης ότι είναι θεμελιώδες να συνεχισθεί ο διάλογος που είχε αρχίσει, για να μπορέσει να δώσει απτά αποτελέσματα.	αρχίσει	13	είχε	12.0	που	11	{'Case': 'Nom', 'Gender': 'Masc', 'Number': 'Sing', 'Person': '3', 'PronType': 'Rel', 'lemma': 'που'}	PRON	είχε	12	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Sing', 'Person': '3', 'Tense': 'Past', 'VerbForm': 'Fin', 'Voice': 'Act', 'lemma': 'έχω', 'Gender': 'Masc'}	AUX	1	[]	{'sent_id': 'gdt-20020206-ep-sessions_174-8', 'text': 'Το Συμβούλιο έκρινε επίσης ότι είναι θεμελιώδες να συνεχισθεί ο διάλογος που είχε αρχίσει, για να μπορέσει να δώσει απτά αποτελέσματα.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-train.conllu'}	είχες	3 -> 2	Το Συμβούλιο έκρινε επίσης ότι είναι θεμελιώδες να συνεχισθεί ο διάλογος που	Το Συμβούλιο έκρινε επίσης ότι είναι θεμελιώδες να συνεχισθεί ο διάλογος που είχες αρχίσει, για να μπορέσει να δώσει απτά αποτελέσματα.	[]	[]	0	0	0	False	False	False	0.001182692772856	SV-P	ell	3	2	SV	aux	+
Οι παραλίες της Θάσου - συνολικού μήκους 115 χλμ. - κάποιες από τις οποίες είναι οργανωμένες, φημίζονται για τα πεντακάθαρα νερά τους.	οργανωμένες	15	είναι	14.0	κάποιες	10	{'Case': 'Nom', 'Gender': 'Fem', 'Number': 'Plur', 'Person': '3', 'PronType': 'Ind', 'lemma': 'κάποιος'}	PRON	είναι	14	{'Aspect': 'Imp', 'Mood': 'Ind', 'Number': 'Plur', 'Person': '3', 'Tense': 'Pres', 'VerbForm': 'Fin', 'Voice': 'Pass', 'lemma': 'είμαι', 'Gender': 'Fem'}	AUX	4	[]	{'sent_id': 'gdt-2005XXXX-ert-tourism_menoume_ellada_thasos-9', 'text': 'Οι παραλίες της Θάσου - συνολικού μήκους 115 χλμ. - κάποιες από τις οποίες είναι οργανωμένες, φημίζονται για τα πεντακάθαρα νερά τους.', 'treebank': 'UD_Greek-GDT/el_gdt-ud-dev.conllu'}	είσαστε	3 -> 2	Οι παραλίες της Θάσου - συνολικού μήκους 115 χλμ. - κάποιες από τις οποίες	Οι παραλίες της Θάσου - συνολικού μήκους 115 χλμ. - κάποιες από τις οποίες είσαστε οργανωμένες, φημίζονται για τα πεντακάθαρα νερά τους.	[]	[]	0	0	0	False	False	False	0.0082904444371772	SV-P	ell	3	2	SV	aux	+
